Sample	phage	nonphage	ratio	color
MEMO001	2.606443681573576	2.9538852370018205	0.8823781130437903	<1.75
MEMO002	0.07342503247355725	0.10181889282169035	0.7211336760668017	<1.75
MEMO003	1.028298385600297	2.875982106151261	0.3575468649130093	<1.75
MEMO004	0.002841436259046205	3.3450875712810317	0.0008494355374852119	<1.75
MEMO005	16.631865837817777	10.783060002836201	1.5424068709107805	<1.75
MEMO006	1.102372889218779	1.0581213464218748	1.0418208582092634	<1.75
MEMO007	3.651964650213398	2.18403290565908	1.6721197930446643	<1.75
MEMO008	5.534004453516422	5.000295795690407	1.1067354171899193	<1.75
MEMO010	7.446638986825014	3.5209162647521834	2.1149719069928348	>1.75
MEMO011	0.026384765262571906	0.04674646226921848	0.5644227173945031	<1.75
MEMO012	7.797805715346075	3.8972084908403604	2.000869528451793	>1.75
MEMO013	2.0352222119131564	3.173647110727858	0.6412881271624399	<1.75
MEMO014	5.285187418816107	3.8407895811160593	1.3760679431129714	<1.75
MEMO015	5.754186769344962	5.901427697649535	0.9750499479366295	<1.75
MEMO016	0.4384162182223047	0.7140930531701706	0.6139483030621623	<1.75
MEMO017	0.23353126739654853	1.362407733947175	0.1714107029618516	<1.75
MEMO018	0.012432733345704213	1.1092402849379115	0.011208331967856831	<1.75
MEMO019	7.594567637780664	4.4785250896339726	1.6957742751869598	<1.75
MEMO021	0.05140100204119503	0.22714888765063737	0.22628771187403524	<1.75
MEMO022	5.978555854518463	4.108849233008221	1.4550438615488868	<1.75
MEMO023	0.011910836889961031	0.3042326716008921	0.03915042006266267	<1.75
MEMO024	38.703388847652626	20.203931432696812	1.9156365174065786	>1.75
MEMO025	12.24161486361106	4.8474052343661596	2.5253953964531206	>1.75
MEMO026	30.78594126925218	15.254449469071803	2.018161411309551	>1.75
MEMO027	9.609876600482464	4.523121482502217	2.1246116509712283	>1.75
MEMO028	0.0792934681759139	0.16318539729013903	0.4859103172996071	<1.75
MEMO029	6.316941918723325	3.453019336300362	1.8293966246628175	>1.75
MEMO030	2.4765726479866395	1.3204763671418973	1.875514556422583	>1.75
MEMO031	8.1301261829653	4.182755182870493	1.9437250872966108	>1.75
MEMO032	0.5551238634254964	0.412117882819069	1.3470026091277647	<1.75
MEMO033	0.06884394136203377	0.19827836881210456	0.347208531997117	<1.75
MEMO034	0.10103915383187975	0.0990457186975822	1.0201264139481296	<1.75
MEMO035	0.02220959361662646	0.16875896160672207	0.13160541760374164	<1.75
